nameA,nameB,A_rate,B_rate,draw_rate,total_games
league5,tdmaniac1,0.490,0.510,0.588,2048
league5,stakes1,0.522,0.478,0.663,2049
league5,statmatch1,0.457,0.543,0.488,2068
league6,league6b,0.548,0.452,0.540,2050
league6,tdmaniac1,0.488,0.512,0.596,2056
league6,stakes1,0.507,0.493,0.679,2054
league6,statmatch1,0.487,0.513,0.451,2056
league6b,tdmaniac1,0.424,0.576,0.514,2054
league6b,stakes1,0.484,0.516,0.557,2049
league6b,statmatch1,0.327,0.673,0.381,2055
tdmaniac1,stakes1,0.509,0.491,0.645,2054
tdmaniac1,statmatch1,0.447,0.553,0.451,2051
stakes1,statmatch1,0.400,0.600,0.509,2055
